,attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
80,0,113131,0,2047,95701,22762,11416,37915,55913,16485,28177,51,0,1
81,0,113131,0,-2048,95701,22762,11416,37915,55913,16485,28177,51,0,1
82,0,113131,0,-668,95701,22762,11416,37915,55913,16485,28177,51,0,1
83,0,113131,0,-185,95701,22762,11416,37915,55913,16485,28177,51,0,1
84,0,113131,0,-2048,95701,22762,11416,37915,55913,16485,28177,51,0,1
85,0,113131,0,-423,95701,22762,11416,37915,55913,16485,28177,51,0,1
86,0,113131,0,-158,95701,22762,11416,37915,55913,16485,28177,51,0,1
87,0,113131,0,3,95701,22762,11416,37915,55913,16485,28177,51,0,1
88,0,382739,0,2047,228348,77297,75481,143923,92152,64553,30499,51,0,1
89,0,382739,0,-1131,228348,77297,75481,143923,92152,64553,30499,51,0,1
90,0,382739,0,2047,228348,77297,75481,143923,92152,64553,30499,51,0,1
91,0,382739,0,-934,228348,77297,75481,143923,92152,64553,30499,51,0,1
92,0,382739,0,-2048,228348,77297,75481,143923,92152,64553,30499,51,0,1
93,0,382739,0,-339,228348,77297,75481,143923,92152,64553,30499,51,0,1
94,0,382739,0,2047,228348,77297,75481,143923,92152,64553,30499,51,0,1
95,0,382739,0,-2048,228348,77297,75481,143923,92152,64553,30499,51,0,1
96,0,382739,0,1538,228348,77297,75481,143923,92152,64553,30499,51,0,1
97,0,382739,0,-34,228348,77297,75481,143923,92152,64553,30499,51,0,1
98,0,2286084,0,-2048,1294409,439973,726928,858151,760964,1460039,468966,51,0,1
99,0,2286084,0,738,1294409,439973,726928,858151,760964,1460039,468966,51,0,1
100,0,2286084,0,787,1294409,439973,726928,858151,760964,1460039,468966,51,0,1
101,0,2286084,0,-2048,1294409,439973,726928,858151,760964,1460039,468966,51,0,1
102,0,2286084,0,-924,1294409,439973,726928,858151,760964,1460039,468966,51,0,1
103,0,2286084,0,1557,1294409,439973,726928,858151,760964,1460039,468966,51,0,1
104,0,2286084,0,-2048,1294409,439973,726928,858151,760964,1460039,468966,51,0,1
105,0,2286084,0,1379,1294409,439973,726928,858151,760964,1460039,468966,51,0,1
106,0,2286084,0,2047,1294409,439973,726928,858151,760964,1460039,468966,51,0,1
107,0,2286084,0,2047,1294409,439973,726928,858151,760964,1460039,468966,51,0,1
108,0,1543869,0,2047,192271,285959,99767,124320,146947,301209,170873,51,0,1
109,0,1543869,0,2047,192271,285959,99767,124320,146947,301209,170873,51,0,1
110,0,1543869,0,185,192271,285959,99767,124320,146947,301209,170873,51,0,1
111,0,1543869,0,-2048,192271,285959,99767,124320,146947,301209,170873,51,0,1
112,0,1543869,0,-1355,192271,285959,99767,124320,146947,301209,170873,51,0,1
113,0,1543869,0,1922,192271,285959,99767,124320,146947,301209,170873,51,0,1
114,0,1543869,0,-2048,192271,285959,99767,124320,146947,301209,170873,51,0,1
115,0,1543869,0,2047,192271,285959,99767,124320,146947,301209,170873,51,0,1
116,0,1543869,0,-679,192271,285959,99767,124320,146947,301209,170873,51,0,1
117,0,1543869,0,577,192271,285959,99767,124320,146947,301209,170873,51,0,1
118,0,375649,0,2047,407177,96544,101816,322889,138688,145391,160269,51,0,1
